 * Tip: There are .env or .flaskenv files present. Do "pip install python-dotenv" to use them.
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.189:5000
Press CTRL+C to quit
 * Restarting with stat
 * Tip: There are .env or .flaskenv files present. Do "pip install python-dotenv" to use them.
 * Debugger is active!
 * Debugger PIN: 132-678-409
192.168.0.189 - - [12/Jun/2026 20:43:58] "GET /api/health HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/quotes HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/profiles HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/notifications HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/quotes HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/profiles HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:15] "OPTIONS /api/notifications HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/quotes HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/notifications HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/quotes HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/notifications HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/profiles HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:16] "GET /api/profiles HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:13:41] "GET /api/uploads/854591e0290b4917980e6084849a4d34.png HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:14:05] "OPTIONS /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:14:05] "OPTIONS /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:14:05] "GET /api/rfqs HTTP/1.1" 200 -
192.168.0.189 - - [12/Jun/2026 21:14:05] "GET /api/rfqs HTTP/1.1" 200 -
